rank,name,hometown,height,weight,star_ranking,grade,college,commited,commit_date
1,Sam McCall,"Lakeland, FL",6'0'',180,four-star,87,Florida St,True,02/28/2021
2,Malaki Starks,"Jefferson, GA",6'1'',195,four-star,87,Georgia,True,03/24/2021
3,Gentry Williams,"Tulsa, OK",5'11'',170,four-star,86,,False,
4,Deyon Bouie,"Bainbridge, GA",5'11'',165,four-star,85,Texas A&M,True,08/13/2021
5,Antonio Kite,"Anniston, AL",6'2'',180,four-star,85,Alabama,True,07/04/2021
6,Larry Turner-Gooden,"Mission Hills, CA",5'10'',180,four-star,84,,False,
7,Kaleb Brown,"Chicago, IL",5'11'',180,four-star,84,Ohio State,True,06/07/2021
8,Brenen Thompson,"Spearman, TX",5'10'',170,four-star,84,,False,
9,Shemar James,"Mobile, AL",6'3'',200,four-star,83,Florida,True,06/20/2021
10,Kendrick Law,"Shreveport, LA",5'11'',185,four-star,83,,False,
11,Jarred Kerr,"Lexington, TX",6'0'',180,four-star,83,Texas A&M,True,06/24/2021
12,Jalil Tucker,"Lincoln, CA",6'0'',180,four-star,83,Oregon,True,08/21/2021
13,Ja'Marion Wayne,"Ballwin, MO",6'2'',175,four-star,82,Missouri,True,12/18/2020
14,Michael Allen,"Greenville, NC",5'10'',180,four-star,81,NC State,True,06/18/2021
15,Rodney Hill,"Statesboro, GA",6'0'',180,four-star,81,Florida St,True,04/10/2021
16,Alex Orji,"Sachse, TX",6'2'',205,four-star,81,Virginia Tech,True,04/08/2021
17,Destin Wade,"Spring Hill, TN",6'4'',195,four-star,81,Kentucky,True,04/17/2021
18,Jaden Mangham,"Beverly Hills, MI",6'3'',185,four-star,80,Michigan St,True,08/08/2021
19,Kody Jones,"Memphis, TN",6'0'',180,four-star,80,Michigan,True,02/04/2021
20,Jordan Anthony,"Tylertown, MS",5'11'',165,four-star,80,Kentucky,True,07/27/2021
21,Omari Kelly,"Trussville, AL",6'2'',180,four-star,80,Auburn,True,08/19/2021
22,Marquez Dortch,"Lucedale, MS",6'0'',165,four-star,80,Ole Miss,True,01/04/2021
23,Ja'Kobi Albert,"Mobile, AL",6'0'',175,four-star,80,Auburn,True,08/04/2021
24,Kye Stokes,"Seffner, FL",6'2'',185,four-star,80,Ohio State,True,05/02/2021
25,Taylor Groves,"Cross Plains, TN",6'2'',175,four-star,80,Ole Miss,True,06/27/2021
26,JaCorey Thomas,"Orlando, FL",6'1'',190,four-star,80,Georgia,True,06/25/2021
27,Xavion Brice,"Arlington, TX",6'2'',175,four-star,80,Oklahoma,True,07/04/2021
28,Treyveon Longmire,"Corbin, KY",6'2'',170,four-star,80,Kentucky,True,03/26/2021
29,Tristan Dunn,"Sumner, WA",6'3'',185,four-star,80,Arizona St,True,07/21/2021
30,Chris Graves,"Fort Myers, FL",6'2'',170,four-star,80,Miami,True,07/09/2021
31,Kobe Prentice,"Calera, AL",5'10'',175,four-star,80,Alabama,True,07/27/2021
32,Simeon Harris,"Vallejo, CA",5'11'',160,three-star,79,Colorado,True,07/21/2021
33,Perry Fisher,"Tallahassee, FL",6'2'',180,three-star,79,Maryland,True,06/26/2021
34,Eli King,"Caledonia, MN",6'3'',185,three-star,79,,False,
35,Terian Williams,"Alpharetta, GA",5'11'',175,three-star,79,Stanford,True,09/01/2021
36,Phillip Dunnam,"Miami, FL",6'1'',180,three-star,79,Indiana,True,07/20/2021
37,Dillon Bell,"Houston, TX",6'2'',200,three-star,79,Georgia,True,08/02/2021
38,Ish Harris,"Pilot Point, TX",6'3'',190,three-star,79,Texas A&M,True,06/26/2021
39,Darren Agu,"Rabun Gap, GA",6'6'',225,three-star,79,Vanderbilt,True,07/14/2021
40,K.D. Hutchinson,"Hamilton, GA",5'9'',180,three-star,79,Vanderbilt,True,07/04/2021
41,Trent Singleton,"Raymond, MS",6'0'',190,three-star,79,Miss. St,True,05/21/2022
42,Isaiah Bond,"Buford, GA",6'0'',180,three-star,78,Florida,True,05/09/2021
43,Octavian Smith,"Burtonsville, MD",6'0'',170,three-star,78,,False,
44,Malcolm Jones,"Leesburg, GA",6'1'',185,three-star,78,Virginia Tech,True,06/21/2021
45,Thomas Castellanos,"Waycross, GA",5'10'',190,three-star,78,UCF,True,03/15/2021
46,Rashod Dubinion,"Ellenwood, GA",5'10'',180,three-star,78,Arkansas,True,02/13/2021
47,Kenny Soares,"Jersey City, NJ",6'3'',215,three-star,78,Colorado,True,08/07/2021
48,Amari Clark,"Camden, NJ",6'1'',190,three-star,78,,False,
