rank,name,hometown,height,weight,star_ranking,grade,college,commited,commit_date,height_inches,star_rank_int,home_state,commit_month
1,Sam McCall,"Lakeland, FL",6'0'',180,four-star,87,Florida St,True,2021-02-28,72,4,Florida,2
2,Malaki Starks,"Jefferson, GA",6'1'',195,four-star,87,Georgia,True,2021-03-24,73,4,Georgia,3
3,Gentry Williams,"Tulsa, OK",5'11'',170,four-star,86,,False,,71,4,Oklahoma,
4,Deyon Bouie,"Bainbridge, GA",5'11'',165,four-star,85,Texas A&M,True,2021-08-13,71,4,Georgia,8
5,Antonio Kite,"Anniston, AL",6'2'',180,four-star,85,Alabama,True,2021-07-04,74,4,Alabama,7
6,Larry Turner-Gooden,"Mission Hills, CA",5'10'',180,four-star,84,,False,,70,4,California,
7,Kaleb Brown,"Chicago, IL",5'11'',180,four-star,84,Ohio State,True,2021-06-07,71,4,Illinois,6
8,Brenen Thompson,"Spearman, TX",5'10'',170,four-star,84,,False,,70,4,Texas,
9,Shemar James,"Mobile, AL",6'3'',200,four-star,83,Florida,True,2021-06-20,75,4,Alabama,6
10,Kendrick Law,"Shreveport, LA",5'11'',185,four-star,83,,False,,71,4,Louisiana,
11,Jarred Kerr,"Lexington, TX",6'0'',180,four-star,83,Texas A&M,True,2021-06-24,72,4,Texas,6
12,Jalil Tucker,"Lincoln, CA",6'0'',180,four-star,83,Oregon,True,2021-08-21,72,4,California,8
13,Ja'Marion Wayne,"Ballwin, MO",6'2'',175,four-star,82,Missouri,True,2020-12-18,74,4,Missouri,12
14,Michael Allen,"Greenville, NC",5'10'',180,four-star,81,NC State,True,2021-06-18,70,4,North Carolina,6
15,Rodney Hill,"Statesboro, GA",6'0'',180,four-star,81,Florida St,True,2021-04-10,72,4,Georgia,4
16,Alex Orji,"Sachse, TX",6'2'',205,four-star,81,Virginia Tech,True,2021-04-08,74,4,Texas,4
17,Destin Wade,"Spring Hill, TN",6'4'',195,four-star,81,Kentucky,True,2021-04-17,76,4,Tennessee,4
18,Jaden Mangham,"Beverly Hills, MI",6'3'',185,four-star,80,Michigan St,True,2021-08-08,75,4,Michigan,8
19,Kody Jones,"Memphis, TN",6'0'',180,four-star,80,Michigan,True,2021-02-04,72,4,Tennessee,2
20,Jordan Anthony,"Tylertown, MS",5'11'',165,four-star,80,Kentucky,True,2021-07-27,71,4,Mississippi,7
21,Omari Kelly,"Trussville, AL",6'2'',180,four-star,80,Auburn,True,2021-08-19,74,4,Alabama,8
22,Marquez Dortch,"Lucedale, MS",6'0'',165,four-star,80,Ole Miss,True,2021-01-04,72,4,Mississippi,1
23,Ja'Kobi Albert,"Mobile, AL",6'0'',175,four-star,80,Auburn,True,2021-08-04,72,4,Alabama,8
24,Kye Stokes,"Seffner, FL",6'2'',185,four-star,80,Ohio State,True,2021-05-02,74,4,Florida,5
25,Taylor Groves,"Cross Plains, TN",6'2'',175,four-star,80,Ole Miss,True,2021-06-27,74,4,Tennessee,6
26,JaCorey Thomas,"Orlando, FL",6'1'',190,four-star,80,Georgia,True,2021-06-25,73,4,Florida,6
27,Xavion Brice,"Arlington, TX",6'2'',175,four-star,80,Oklahoma,True,2021-07-04,74,4,Texas,7
28,Treyveon Longmire,"Corbin, KY",6'2'',170,four-star,80,Kentucky,True,2021-03-26,74,4,Kentucky,3
29,Tristan Dunn,"Sumner, WA",6'3'',185,four-star,80,Arizona St,True,2021-07-21,75,4,Washington,7
30,Chris Graves,"Fort Myers, FL",6'2'',170,four-star,80,Miami,True,2021-07-09,74,4,Florida,7
31,Kobe Prentice,"Calera, AL",5'10'',175,four-star,80,Alabama,True,2021-07-27,70,4,Alabama,7
32,Simeon Harris,"Vallejo, CA",5'11'',160,three-star,79,Colorado,True,2021-07-21,71,3,California,7
33,Perry Fisher,"Tallahassee, FL",6'2'',180,three-star,79,Maryland,True,2021-06-26,74,3,Florida,6
34,Eli King,"Caledonia, MN",6'3'',185,three-star,79,,False,,75,3,Minnesota,
35,Terian Williams,"Alpharetta, GA",5'11'',175,three-star,79,Stanford,True,2021-09-01,71,3,Georgia,9
36,Phillip Dunnam,"Miami, FL",6'1'',180,three-star,79,Indiana,True,2021-07-20,73,3,Florida,7
37,Dillon Bell,"Houston, TX",6'2'',200,three-star,79,Georgia,True,2021-08-02,74,3,Texas,8
38,Ish Harris,"Pilot Point, TX",6'3'',190,three-star,79,Texas A&M,True,2021-06-26,75,3,Texas,6
39,Darren Agu,"Rabun Gap, GA",6'6'',225,three-star,79,Vanderbilt,True,2021-07-14,78,3,Georgia,7
40,K.D. Hutchinson,"Hamilton, GA",5'9'',180,three-star,79,Vanderbilt,True,2021-07-04,69,3,Georgia,7
41,Trent Singleton,"Raymond, MS",6'0'',190,three-star,79,Miss. St,True,2021-05-21,72,3,Mississippi,5
